,67205,-202.7.00,237,-163,,,,
359,5584,2344,-13940,29.75,-403,-225,-146,
360,5500,2420,-13936,29.8,-496,-177,-204,
361,5488,2484,-13656,29.89,-397,-208,-163,
362,5456,2476,-13904,29.8,-334,-142,-67,
363,5556,2368,-13800,29.75,-369,-191,-153,
364,5560,2420,-13964,29.71,-344,-202,-131,
365,5568,2424,-13864,29.8,-332,-209,-171,
366,5504,2412,-13980,29.8,-317,-183,-172,
367,5532,2388,-13872,29.85,-306,-142,-140,
368,5548,2332,-13912,29.85,-353,-200,-148,
369,5652,2324,-13956,29.8,-330,-153,-169,
370,5460,2400,-13956,29.8,-340,-180,-65,
371,5472,2360,-13800,29.85,-331,-160,-109,
372,5456,2392,-13936,29.85,-410,-141,-166,
373,5624,2404,-13892,29.85,-409,-183,-135,
374,5580,2388,-13860,29.75,-333,-172,-104,
375,5580,2500,-13888,29.89,-367,-190,-126,
376,5480,2420,-13948,29.8,-351,-191,-158,
377,5588,2424,-14008,29.8,-371,-144,-148,
378,5472,2472,-13852,29.75,-372,-196,-180,
379,5468,2360,-13912,29.75,-306,-128,-70,
380,5516,2448,-13888,29.75,-325,-139,-132,
381,5564,2364,-14068,29.8,-364,-161,-119,
382,5444,2324,-13716,29.8,-413,-208,-173,
383,5580,2444,-13824,29.8,-340,-183,-155,
384,5588,2420,-13984,29.75,-363,-120,-108,
385,5576,2344,-13856,29.75,-276,-184,-130,
386,5472,2416,-13980,29.75,-297,-135,-75,
387,5696,2368,-13916,29.8,-250,-146,-71,
388,5568,2344,-13832,29.75,-443,-233,-236,
389,5504,2340,-13844,29.75,-486,-168,-170,
390,5532,2380,-13792,29.85,-326,-212,-196,
391,5548,2408,-13920,29.89,-332,-121,-88,
392,5520,2452,-13840,29.85,-296,-143,-76,
393,5516,2324,-13960,29.85,-462,-160,-143,
394,5580,2360,-13796,29.8,-411,-213,-140,
395,5476,2512,-13920,29.8,-311,-104,-109,
396,5580,2412,-13760,29.8,-342,-217,-164,
397,5608,2400,-13792,29.85,-349,-199,-98,
398,5460,2408,-13916,29.85,-392,-194,-171,
399,5568,2344,-13840,29.8,-386,-175,-164,
400,5592,2312,-13752,29.89,-281,-143,-85,
401,5584,2372,-13712,29.75,-368,-172,-144,
402,5676,2468,-13980,29.75,-408,-170,-117,
403,5600,2404,-13860,29.75,-306,-186,-144,
404,5512,2300,-13856,29.85,-413,-163,-126,
405,5436,2500,-13800,29.85,-233,-252,-81,
406,5576,2420,-13944,29.89,-406,-205,-149,
407,5568,2452,-13864,29.8,-323,-205,-160,
408,5660,2420,-13956,29.8,-378,-147,-118,
409,5416,2384,-13840,29.8,-315,-153,-108,
410,5560,2424,-13960,29.8,-389,-173,-143,
411,5612,2328,-13896,29.75,-322,-174,-134,
412,5560,2296,-13968,29.75,-413,-193,-207,
413,5676,2324,-13880,29.85,-426,-216,-186,
414,5636,2376,-13756,29.85,-358,-175,-210,
415,5604,2320,-13908,29.89,-466,-204,-171,
416,5584,2536,-13908,29.89,-436,-197,-202,
417,5524,2456,-13916,29.85,-353,-208,-212,
418,5500,2488,-14032,29.85,-375,-237,-192,
419,5556,2492,-13964,29.75,-397,-226,-120,
420,5492,2504,-13944,29.85,-414,-254,-217,
421,5488,2472,-13888,29.8,-358,-199,-175,
422,5452,2488,-13864,29.89,-394,-220,-173,
423,5588,2452,-13700,29.89,-390,-201,-179,
