,-4,-710,192,,,,,,
208,8148,12604,-3272,31.73,-8990,-6235,1412,,
209,9220,12620,-4284,31.64,-9260,-4907,-811,,
210,9180,13280,-3144,31.68,-4507,-3376,394,,
211,8224,13296,-1956,31.64,-4232,-4784,-788,,
212,8860,13104,-2336,31.68,-2788,-1162,-1144,,
213,8668,13768,-2356,31.64,-2748,204,-1088,,
214,8316,13800,-3144,31.59,-1901,2,26,,
215,8192,13668,-2772,31.68,-51,-816,-206,,
216,8124,13996,-2280,31.68,936,-904,-684,,
217,8040,13768,-2312,31.64,1223,-190,-660,,
218,8072,13900,-1844,31.68,582,52,-353,,
219,8108,14292,-1924,31.73,-504,49,-233,,
220,8104,14072,-2112,31.68,148,1114,66,,
221,8104,13680,-1856,31.64,-70,834,-855,,
222,8008,13924,-2616,31.68,-1419,-259,48,,
223,8256,13904,-2600,31.68,-330,-474,259,,
224,8080,14168,-1124,31.73,-1546,341,-627,,
225,8444,14288,-1548,31.54,-1770,2048,-369,,
226,7836,13600,-1752,31.68,-913,1991,380,,
227,8400,13900,-1960,31.68,-1099,215,802,,
228,8228,13688,-1712,31.59,-1677,830,-245,,
229,8400,13744,-2384,31.68,159,99,659,,
230,8484,14028,-1652,31.73,291,-1314,601,,
231,8720,13980,-1260,31.68,390,-1013,221,,
232,8936,13976,-2112,31.68,1006,44,269,,
233,8996,13964,-1872,31.73,-1032,-3540,589,,
234,8240,13776,-1892,31.68,1660,490,-944,,
235,8596,13216,-1960,31.73,2433,248,-782,,
236,9060,13732,-2172,31.73,20,-2616,1185,,
237,8552,13688,-2384,31.64,-1259,-2305,877,,
238,8820,13740,-2644,31.64,-204,-165,824,,
239,8240,13100,-1876,31.64,-240,290,-427,,
240,8804,13668,-2536,31.64,-1064,-433,-637,,
241,8444,13332,-2020,31.73,-432,-152,-1258,,
242,8444,13576,-1764,31.68,-2707,-990,-941,,
243,9460,13340,-2200,31.78,-2803,-2787,129,,
244,7272,14176,-2764,31.73,373,870,533,,
245,8052,13732,-2160,31.64,231,-145,144,,
246,8620,13832,-2100,31.64,-390,-840,58,,
247,8468,13656,-2040,31.78,-247,-868,300,,
248,8292,13628,-2204,31.64,-1155,-1571,-104,,
249,8188,13768,-2208,31.68,-753,-1164,-476,,
250,8372,13832,-2236,31.73,-550,-1492,-184,,
251,8324,13800,-2180,31.64,-304,-1450,-159,,
252,8020,13912,-2232,31.68,-332,-1503,-298,,
253,7988,13796,-2224,31.68,-380,-254,-247,,
254,8148,13844,-2128,31.68,-125,159,-305,,
255,8308,13928,-2236,31.68,-728,-61,-127,,
256,8132,13908,-2668,31.68,-986,61,16,,
257,7848,13660,-2560,31.68,-697,-49,79,,
258,8236,14068,-2220,31.73,-121,675,-210,,
259,8172,13708,-2472,31.73,266,1458,-859,,
260,8184,13772,-2284,31.73,-484,-170,17,,
261,8048,13940,-2284,31.78,-789,-223,30,,
262,7956,13752,-2316,31.59,-235,55,-21,,
263,8112,13820,-2200,31.73,-137,-95,-83,,
264,8276,13872,-2264,31.68,-114,-316,-3,,
265,8304,13920,-2256,31.68,-475,-441,40,,
266,8216,13812,-2384,31.59,-403,-242,-52,,
267,8224,13768,-2328,31.68,-272,-163,-75,,
268,8228,13848,-2164,31.68,-445,-251,-113,,
269,8192,13808,-2496,31.64,-427,-499,-49,,
270,8120,13788,-2136,31.73,-431,-537,-93,,
271,8292,13780,-2312,31.64,-387,-384,-101,,
272,8164,13892,-2304,31.68,-410,-460,-77,,
273,8104,13956,-2176,31.78,-436,-498,-116,,
274,8020,13776,-2216,31.73,-303,-335,-206,,
275,8244,13876,-2116,31.73,-485,-80,-289,,
276,8180,13808,-2216,31.64,-683,-366,-149,,
277,8112,13868,-2312,31.68,-383,-269,-59,,
278,8152,13748,-2344,31.78,-465,-288,-38,,
279,8136,13752,-2276,31.68,-441,-360,-25,,
280,8188,14036,-2012,31.78,-654,-286,-30,,
281,8128,13780,-2112,31.59,-411,-184,-58,,
282,8092,13804,-2168,31.78,-500,-120,-154,,
283,8172,13896,-2292,31.73,-436,-258,-54,,
284,8140,13800,-1988,31.73,-349,-346,-111,,
285,7968,13864,-2164,31.73,-479,-245,-175,,
286,7996,13912,-2340,31.78,-430,-285,-105,,
287,7976,13860,-2120,31.68,-290,-253,-101,,
288,8248,13848,-2204,31.82,-252,-188,-131,,
289,8220,13784,-2264,31.73,-372,-111,-165,,
290,8092,13948,-2292,31.64,-352,-162,15,,
291,8100,13856,-2168,31.73,-342,-88,-36,,
292,8136,13904,-2200,31.73,-360,-158,-53,,
293,8132,13836,-2160,31.73,-294,-175,-85,,
294,8196,13856,-2296,31.73,-337,-93,-102,,
295,8136,13820,-2288,31.73,-390,-204,-90,,
296,8208,13876,-2060,31.73,-382,-232,-83,,
297,8132,13872,-2216,31.59,-325,-268,-73,,
298,8072,13936,-2256,31.78,-268,-287,-18,,
299,8196,13896,-2116,31.78,-309,-307,27,,
300,8200,13780,-2240,31.73,-278,-219,-66,,
301,8276,13892,-2108,31.68,-498,-294,-76,,
302,8104,13840,-2192,31.68,-472,-332,-53,,
303,8176,13936,-2192,31.68,-649,-283,25,,
304,8116,13828,-2204,31.68,-768,35,-296,,
305,8140,13912,-2376,31.68,-64,-659,93,,
306,8240,13844,-2208,31.73,-110,-412,117,,
307,8172,13876,-2152,31.73,-409,96,13,,
308,8256,13820,-1968,31.78,-635,144,-157,,
309,8180,13968,-2340,31.68,-434,-216,-153,,
310,8096,13816,-1960,31.73,-613,-184,-208,,
311,8284,13868,-2156,31.82,-505,-251,-122,,
312,8320,13916,-2028,31.68,-521,-290,-118,,
313,8096,13868,-2164,31.73,-566,-416,-122,,
314,8232,13856,-2084,31.64,-484,-727,-105,,
315,8184,13820,-2376,31.68,-459,-861,-17,,
316,8040,13884,-2272,31.78,-404,-951,56,,
317,7980,13840,-2204,31.78,-335,-931,30,,
318,8088,13904,-2220,31.78,-397,-729,6,,
319,8120,13844,-2176,31.73,-328,-464,-49,,
320,8052,13840,-2372,31.73,-483,-476,-69,,
321,8128,13820,-2324,31.73,-481,-504,-12,,
322,8120,13840,-2224,31.82,-490,-411,-65,,
323,8140,13860,-2304,31.73,-653,-425,-80,,
324,8160,13872,-2216,31.64,-611,-564,-2,,
325,8180,13952,-2092,31.64,-659,-659,29,,
326,7988,13928,-2204,31.73,-590,-689,76,,
327,8036,13868,-2152,31.78,-672,-761,-19,,
328,7944,13840,-2192,31.78,-478,-497,-115,,
329,8040,14024,-2340,31.73,-478,-427,-47,,
330,7828,13924,-2260,31.73,-160,-326,-131,,
331,7944,13844,-2140,31.64,-366,-17,-169,,
332,7944,14160,-2488,31.73,-21,402,-74,,
333,8260,13956,-2576,31.64,923,1010,144,,
334,8120,13696,-1712,31.68,-61,410,-414,,
335,8152,13784,-2100,31.68,-838,-336,-163,,
336,8016,13988,-2196,31.73,-1200,-394,-337,,
337,7852,14188,-2780,31.68,286,596,-192,,
338,7752,13636,-2112,31.64,1579,1321,-492,,
339,8272,13768,-1940,31.78,547,656,-1482,,
340,7940,13756,-2748,31.68,321,-810,-1001,,
341,7416,13728,-1900,31.73,-536,-2763,-1184,,
342,7488,14104,-2864,31.68,-382,-1525,-1247,,
343,8024,14316,-3060,31.73,-501,-1003,-892,,
344,7896,14036,-3124,31.68,-1291,-1479,-706,,
345,7348,14104,-3188,31.73,-1299,-536,-407,,
346,7260,14504,-3308,31.68,-524,312,-319,,
347,7340,14328,-2880,31.78,-232,582,-182,,
348,7332,14128,-2752,31.82,-296,656,-134,,
349,7216,14252,-2700,31.73,-540,811,-203,,
350,7344,14192,-2724,31.64,97,1099,-354,,
351,7252,13960,-2284,31.73,148,341,-428,,
352,7028,14104,-2420,31.64,-536,-478,-188,,
353,7728,14112,-2440,31.73,-850,-815,-88,,
354,7196,13980,-2204,31.64,-1156,-588,782,,
355,7772,14492,-2244,31.78,-1756,-882,799,,
356,7576,14672,-2980,31.78,-845,936,1791,,
357,6868,14232,-2304,31.78,1011,1969,-1058,,
358,8312,13768,-2264,31.82,58,-385,-49,,
359,7704,13932,-2020,31.64,-637,-1767,426,,
360,7824,14020,-2304,31.64,-1389,-914,763,,
361,7476,14168,-2708,31.68,-498,245,690,,
362,7780,13836,-2368,31.78,174,-247,21,,
363,7848,13928,-2120,31.73,-71,-646,670,,
364,7784,13752,-2268,31.73,430,617,561,,
365,7792,13652,-1716,31.68,-121,711,-890,,
366,7796,13172,-1776,31.68,-493,-348,-156,,
367,7240,14616,-1312,31.82,-1626,-1322,-313,,
368,4872,12668,856,31.78,423,-2911,781,,
369,7720,14428,-3028,31.59,-512,-53,-1068,,
370,7880,14336,-2832,31.68,-602,152,-609,,
371,8000,14220,-2600,31.68,-517,548,-647,,
372,7760,14156,-2260,31.73,-297,961,-666,,
373,7628,13976,-1916,31.73,-348,646,-516,,
374,7700,14164,-1776,31.82,-549,123,-630,,
375,7548,14380,-1800,31.73,-584,-282,-405,,
376,7808,14196,-1864,31.82,-812,-863,-443,,
