,-184864,-4192,30.74,-2214,996,-62,,
194,3856,12476,-8376,30.93,-246,-88,-66,
195,3968,12340,-8368,30.88,-655,-550,-79,
196,4116,12232,-8528,30.88,-557,-35,-345,
197,3848,12528,-8460,30.93,-432,-166,-145,
198,3888,12404,-8248,30.93,-137,-134,-20,
199,3836,12476,-8528,30.98,-102,-125,-27,
200,4064,12196,-8296,30.93,-661,-364,-126,
201,3944,12400,-8180,30.93,-426,-372,-196,
202,3776,12312,-8316,30.93,-72,-244,-119,
203,3876,12384,-8192,31.02,-503,-251,-132,
204,3940,12440,-8540,30.93,-191,-180,-323,
205,4108,12216,-8436,30.93,-367,64,-262,
206,3912,12364,-8480,30.88,-278,87,-68,
207,3692,12484,-8500,30.88,-230,-531,-194,
208,3796,12280,-8544,30.88,-239,-257,-152,
209,4008,12184,-8504,30.88,-745,-458,-298,
210,3688,12700,-8388,30.98,-157,-243,-3,
211,3812,12292,-8328,30.84,-302,-237,-100,
212,3632,12324,-8168,30.93,-284,132,-50,
213,3832,12376,-8376,30.79,-1026,-176,-115,
214,4036,12584,-8276,30.98,-126,-313,-249,
215,3704,12628,-8124,30.93,-62,-318,79,
216,3732,12424,-8032,30.98,-791,-1122,578,
217,4256,12088,-9164,30.88,-1078,-1719,1563,
218,3936,12020,-7924,30.98,-600,-1059,493,
219,4304,12132,-8484,30.98,-1395,465,-483,
220,3940,12040,-8120,30.88,-273,189,-557,
221,3808,12540,-8052,30.93,123,156,-343,
222,4432,12512,-8936,30.88,-1650,30,-1227,
223,4720,12464,-8368,30.98,-2669,1324,-2972,
224,4932,14924,-9112,30.88,-5669,3221,-7256,
225,8340,9556,-15620,30.93,-6477,-2634,3247,
226,4812,11448,-6212,30.84,-2912,-7205,8259,
227,4488,14960,-3024,30.88,1786,-2827,4768,
228,2212,17980,1504,30.88,5250,-922,-1061,
229,32,20012,-8280,30.93,6681,7811,-7547,
230,500,7564,-18008,30.84,-4935,1370,2957,
231,3020,6432,-10436,30.98,-1006,-9988,10788,
232,18044,10420,-3368,30.93,-2453,-12919,7958,
233,11380,16268,1828,30.88,3550,-5221,-8386,
234,-2204,18544,-6496,30.84,4484,8837,-9608,
235,-7228,10668,-18256,30.93,-6692,8796,-4447,
236,60,7224,-15620,30.98,-6306,512,8809,
237,17060,10460,-4684,30.93,-2999,-10391,10260,
238,14292,14236,2780,30.93,97,-7707,-9685,
239,-1672,15748,2100,30.93,8584,371,-10279,
240,-8956,14836,-12076,30.93,1231,16184,-6307,
241,-2352,3552,-22316,30.88,-8384,7325,3648,
242,18548,2280,-13868,30.98,-7386,-11218,22001,
243,17608,16568,2340,30.88,1977,-8154,-2922,
244,6320,19416,2484,30.93,8898,-3501,-13241,
245,-7376,14196,-10920,30.93,1431,8379,-4903,
246,-6708,7156,-21008,30.88,-11867,11523,5045,
247,16836,9996,-4936,31.02,-5163,-6951,14580,
248,18604,14720,6716,30.88,-122,-3952,-13163,
249,-968,12916,-532,30.93,16213,5985,-7568,
250,-2636,9368,-14704,30.93,6420,16390,-5597,
251,-1032,-2424,-26688,30.88,6026,4643,6900,
252,9948,6044,-10628,30.98,-2685,-6412,-1986,
253,10552,15600,-7444,31.02,-3794,-5833,-3119,
254,2560,12272,-7748,30.93,1006,-1099,3722,
255,1712,14428,-6912,30.93,4587,3756,-4834,
256,5176,11304,-10612,31.02,2343,-152,3607,
257,5464,12812,-8004,30.93,-6958,-5028,-289,
258,3820,13468,-7852,30.88,-4330,-3299,1816,
259,4284,12340,-8408,30.88,-254,100,1508,
260,5176,11824,-8004,30.98,-1163,684,556,
261,5188,11848,-8316,30.93,144,1474,-255,
262,4488,12272,-8044,30.88,1880,1596,-797,
263,4504,11792,-8252,30.88,1999,-1153,-77,
264,4548,12252,-8032,30.98,1288,-1195,-597,
265,4108,11940,-9660,30.98,294,147,402,
266,5508,11064,-8912,30.98,-1865,-400,-388,
267,4412,12376,-8520,30.98,-82,632,-906,
268,4584,11856,-8588,30.98,839,901,-298,
269,4784,11684,-8324,30.93,770,-801,765,
270,4712,12056,-8236,30.98,-9,-1512,355,
271,4644,11408,-9480,30.93,52,-1544,909,
272,4864,11208,-9564,30.88,-1544,-727,387,
273,4248,12236,-8412,30.98,-1262,-56,-1204,
274,4156,11784,-9196,30.93,754,699,-657,
275,4052,11880,-8496,30.98,161,479,-1140,
276,4540,11400,-9644,30.88,-359,1022,-805,
277,4212,12148,-8556,30.88,-2848,-573,-1408,
278,5108,11704,-8432,30.93,-1522,376,-844,
279,3908,12112,-8776,30.93,-363,781,-855,
280,3548,12536,-8992,30.93,-473,1112,-1507,
281,4364,11724,-8056,30.98,-1029,732,-995,
282,4488,12320,-8364,30.98,-411,614,-749,
283,4412,12336,-8560,30.98,-754,-349,-397,
284,4276,12312,-8756,30.88,-314,-33,-593,
285,4088,12332,-8320,30.98,-861,-122,-27,
286,4296,12552,-7664,31.02,-1055,-271,-1,
287,4532,12352,-8228,30.84,336,283,-360,
288,3996,12464,-8584,30.93,191,-133,95,
289,4228,12192,-8012,30.98,-1036,-790,116,
290,4156,12388,-8612,30.98,-295,-481,70,
291,4340,12176,-8168,30.93,-144,-329,-351,
292,4180,12288,-8704,30.84,-622,-234,157,
293,3868,12580,-8056,30.93,-1045,-169,-164,
294,3972,12332,-8128,30.88,-155,80,-63,
295,4276,12360,-8244,30.93,-458,-382,-253,
296,4044,12384,-8372,30.93,-389,-333,-277,
297,4516,12476,-7640,30.93,-358,-83,-34,
298,4304,12568,-8448,30.98,-193,-247,106,
299,4352,12268,-8452,30.98,-523,-560,-396,
300,4064,12412,-7940,30.98,-506,-87,-176,
301,4268,12008,-8212,30.98,-73,-291,167,
302,4160,12540,-7988,30.93,-478,-358,-5,
303,4560,12180,-7880,30.88,-968,-316,-254,
304,4000,12384,-8872,30.98,163,102,-403,
305,4460,12384,-7640,30.93,-282,-109,79,
306,4168,12364,-8200,30.84,204,-21,20,
307,4056,12528,-8364,30.93,-475,-541,-105,
308,4208,12348,-8176,30.93,-56,94,-208,
309,4104,12220,-8876,30.88,250,52,20,
310,4152,12512,-7920,30.98,-619,-113,-142,
311,4400,12560,-8032,30.84,-233,-484,-73,
312,4312,12276,-8440,30.88,125,-157,30,
313,4460,12152,-8352,31.02,-326,-258,-54,
314,4124,12408,-8320,30.98,-400,-130,-28,
315,4084,12380,-8408,30.98,-331,-379,-78,
316,4236,12164,-8400,30.88,-343,-205,-214,
317,4208,12412,-8444,30.88,-243,-54,-218,
318,4236,12272,-8188,30.88,-345,-154,-52,
319,4256,12308,-8196,30.93,-284,-103,-49,
320,4280,12244,-8504,30.93,-629,-500,-254,
321,4420,12236,-8364,31.02,-262,-37,-350,
322,4304,12360,-8180,30.93,-335,-264,4,
323,4324,12252,-8472,30.88,-350,-100,-37,
324,4308,12260,-8536,30.98,-299,-28,-359,
325,4328,12352,-8500,30.88,-510,-200,-286,
326,4272,12312,-8192,30.88,-167,-217,-37,
327,4072,12068,-8684,30.88,-488,-514,185,
328,4372,12296,-8344,30.98,-635,-359,-106,
329,4160,12256,-8512,30.98,-600,-431,-165,
330,4216,12276,-8392,30.98,-140,-61,-211,
331,4444,12112,-8444,30.88,-438,-309,104,
332,4100,12192,-8464,31.02,-399,-375,248,
333,4228,12220,-8436,30.93,-396,-32,-405,
334,4088,12092,-8800,30.93,-1082,-833,-662,
335,4084,12692,-8172,30.98,-696,-131,-27,
336,4368,12544,-7976,30.98,-200,-238,-12,
337,4100,12536,-8316,30.93,-467,-298,55,
338,4436,12152,-8072,30.93,-665,-157,-199,
339,4216,12532,-7936,30.93,-238,75,-554,
340,4192,12388,-8052,30.98,-357,-297,150,
341,4208,12256,-8520,30.88,-476,-481,191,
342,4312,12256,-8632,30.88,-456,-453,-295,
343,4116,12408,-8388,30.88,-676,-7,-414,
344,4340,12288,-8296,31.02,-168,-162,-263,
345,4012,12496,-8248,30.93,-254,-254,-17,
346,4128,12328,-8188,30.93,-665,-203,-154,
347,4176,12376,-8416,30.93,-723,-191,-380,
348,4080,12572,-8060,30.93,-594,129,-548,
